loa_id,client_id,provider,case_type,date_prepared,date_client_signed,date_submitted_to_provider,current_state,days_in_current_state,provider_sla_days,sla_status,document_quality_score,signature_verified,missing_documents,reference_number
LOA_0001,CLI_0039,Legal & General,Investment Planning,2025-12-30T16:33:51.452891,,,Client Signature Pending,32,14,Overdue,45.92,True,,
LOA_0002,CLI_0040,Friends Life,Investment Planning,2026-01-25T16:33:51.454903,2026-02-01T16:33:51.454903,,Client Signed,0,14,On Track,18.18,False,,
LOA_0003,CLI_0012,Zurich,Protection Review,2026-01-06T16:33:51.455097,2026-01-12T16:33:51.455097,2026-01-11T16:33:51.455097,Complete,0,15,Overdue,23.28,False,,REF_ZUR_00003
LOA_0004,CLI_0044,Prudential,Retirement Planning,2025-12-07T16:33:51.455273,2025-12-10T16:33:51.455273,,Client Signed,53,12,Overdue,6.51,True,,
LOA_0005,CLI_0014,Standard Life,General Review,2026-01-19T16:33:51.455448,2026-01-26T16:33:51.455448,2026-01-25T16:33:51.455448,Provider Processing,4,12,On Track,83.32,False,,REF_STA_00005
LOA_0006,CLI_0036,Standard Life,Retirement Planning,2025-12-19T16:33:51.455681,2025-12-23T16:33:51.455681,,Client Signed,40,12,Overdue,96.96,True,,
LOA_0007,CLI_0034,Zurich,General Review,2025-12-23T16:33:51.455840,2026-01-01T16:33:51.455840,2026-01-03T16:33:51.455840,Provider Processing,27,15,Overdue,96.12,True,,REF_ZUR_00007
LOA_0008,CLI_0018,Aon,General Review,2026-01-04T16:33:51.456050,2026-01-07T16:33:51.456050,2026-01-12T16:33:51.456050,Information Received,0,20,On Track,7.46,True,,REF_AON_00008
LOA_0009,CLI_0024,Aviva,Protection Review,2025-12-15T16:33:51.456398,2025-12-24T16:33:51.456398,2025-12-22T16:33:51.456398,Provider Processing,40,10,Overdue,77.13,False,Payslip,REF_AVI_00009
LOA_0010,CLI_0041,Prudential,Investment Planning,2026-01-19T16:33:51.456687,2026-01-25T16:33:51.456687,2026-01-25T16:33:51.456687,Provider Processing,7,12,On Track,66.59,True,P60,REF_PRU_00010
LOA_0011,CLI_0027,Fidelity,Investment Planning,2026-01-27T16:33:51.456915,2026-02-03T16:33:51.456915,2026-02-07T16:33:51.456915,Provider Processing,0,15,On Track,23.6,True,Payslip,REF_FID_00011
LOA_0012,CLI_0009,Zurich,Retirement Planning,2025-12-17T16:33:51.457126,2025-12-24T16:33:51.457126,2025-12-24T16:33:51.457126,Provider Processing,34,15,Overdue,13.93,True,Payslip,REF_ZUR_00012
LOA_0013,CLI_0043,Legal & General,Protection Review,2026-01-15T16:33:51.457337,2026-01-24T16:33:51.457337,2026-01-22T16:33:51.457337,Complete,0,14,On Track,80.81,True,,REF_LEG_00013
LOA_0014,CLI_0006,Legal & General,Investment Planning,2025-12-29T16:33:51.457510,2026-01-03T16:33:51.457510,2026-01-04T16:33:51.457510,Provider Submitted,28,14,Overdue,11.01,True,,REF_LEG_00014
LOA_0015,CLI_0013,AXA,General Review,2026-01-25T16:33:51.457699,2026-02-02T16:33:51.457699,2026-02-01T16:33:51.457699,Provider Processing,0,15,On Track,26.94,True,Payslip,REF_AXA_00015
LOA_0016,CLI_0032,Friends Life,Investment Planning,2025-12-18T16:33:51.457913,2025-12-21T16:33:51.457913,2025-12-28T16:33:51.457913,Provider Submitted,35,14,Overdue,49.72,True,,REF_FRI_00016
LOA_0017,CLI_0049,Friends Life,General Review,2026-01-11T16:33:51.458144,2026-01-14T16:33:51.458144,2026-01-17T16:33:51.458144,Provider Submitted,15,14,Overdue,90.83,True,,REF_FRI_00017
LOA_0018,CLI_0002,Aon,Pension Consolidation,2025-12-15T16:33:51.458287,2025-12-23T16:33:51.458287,2025-12-26T16:33:51.458287,Provider Submitted,37,20,Overdue,24.22,True,,REF_AON_00018
LOA_0019,CLI_0005,Legal & General,Pension Consolidation,2025-12-25T16:33:51.458457,2026-01-02T16:33:51.458457,2026-01-01T16:33:51.458457,Provider Processing,32,14,Overdue,85.84,True,Statements,REF_LEG_00019
LOA_0020,CLI_0019,Zurich,Pension Consolidation,2026-01-25T16:33:51.458691,2026-01-30T16:33:51.458691,2026-02-02T16:33:51.458691,Provider Submitted,0,15,On Track,51.78,True,,REF_ZUR_00020
LOA_0021,CLI_0011,AXA,Investment Planning,2026-01-03T16:33:51.458854,2026-01-12T16:33:51.458854,,Client Signed,20,15,Overdue,17.5,True,,
LOA_0022,CLI_0049,Standard Life,General Review,2026-01-27T16:33:51.458956,2026-02-04T16:33:51.458956,2026-02-04T16:33:51.458956,Provider Processing,0,12,On Track,33.9,True,Statements,REF_STA_00022
LOA_0023,CLI_0016,Fidelity,Investment Planning,2026-01-08T16:33:51.459096,2026-01-16T16:33:51.459096,2026-01-13T16:33:51.459096,Complete,0,15,Overdue,78.53,True,,REF_FID_00023
LOA_0024,CLI_0035,AXA,Investment Planning,2025-12-24T16:33:51.459188,2025-12-31T16:33:51.459188,2025-12-30T16:33:51.459188,Provider Processing,20,15,Overdue,65.2,True,,REF_AXA_00024
LOA_0025,CLI_0004,Aviva,Pension Consolidation,2026-01-14T16:33:51.459288,2026-01-20T16:33:51.459288,2026-01-25T16:33:51.459288,Provider Processing,10,10,On Track,50.88,True,P60,REF_AVI_00025
LOA_0026,CLI_0046,Transamerica,Protection Review,2025-12-21T16:33:51.459387,2025-12-26T16:33:51.459387,2025-12-31T16:33:51.459387,Information Received,1,18,Overdue,50.26,True,,REF_TRA_00026
LOA_0027,CLI_0033,Aon,Protection Review,2025-12-11T16:33:51.459474,2025-12-17T16:33:51.459474,2025-12-18T16:33:51.459474,Provider Processing,46,20,Overdue,27.96,True,Statements,REF_AON_00027
LOA_0028,CLI_0041,Aon,Investment Planning,2026-01-04T16:33:51.459574,,,Client Signature Pending,27,20,On Track,30.57,False,,
LOA_0029,CLI_0033,Fidelity,Protection Review,2026-01-10T16:33:51.459693,2026-01-14T16:33:51.459693,2026-01-21T16:33:51.459693,Provider Processing,11,15,On Track,9.72,True,P60,REF_FID_00029
LOA_0030,CLI_0023,Standard Life,Pension Consolidation,2026-01-01T16:33:51.459872,2026-01-05T16:33:51.459872,,Client Signed,27,12,Overdue,70.89,True,,
LOA_0031,CLI_0042,Prudential,Protection Review,2026-01-02T16:33:51.460047,2026-01-06T16:33:51.460047,2026-01-07T16:33:51.460047,Provider Processing,17,12,Overdue,79.83,True,Statements,REF_PRU_00031
LOA_0032,CLI_0046,Fidelity,Protection Review,2026-01-05T16:33:51.460289,2026-01-11T16:33:51.460289,2026-01-11T16:33:51.460289,Provider Submitted,21,15,Overdue,15.5,True,,REF_FID_00032
LOA_0033,CLI_0022,Zurich,General Review,2026-01-06T16:33:51.460461,2026-01-12T16:33:51.460461,2026-01-12T16:33:51.460461,Provider Processing,15,15,Overdue,77.0,True,,REF_ZUR_00033
LOA_0034,CLI_0039,Legal & General,Investment Planning,2026-01-22T16:33:51.460690,2026-01-28T16:33:51.460690,2026-02-01T16:33:51.460690,Provider Processing,2,14,On Track,97.59,True,P60,REF_LEG_00034
LOA_0035,CLI_0019,Aviva,Pension Consolidation,2026-01-09T16:33:51.460903,2026-01-13T16:33:51.460903,2026-01-20T16:33:51.460903,Complete,0,10,Overdue,83.6,True,,REF_AVI_00035
LOA_0036,CLI_0001,Zurich,General Review,2026-01-27T16:33:51.461132,2026-01-31T16:33:51.461132,2026-02-06T16:33:51.461132,Provider Processing,0,15,On Track,27.99,True,Payslip,REF_ZUR_00036
LOA_0037,CLI_0005,Transamerica,Pension Consolidation,2025-12-30T16:33:51.461242,,,Client Signature Pending,32,18,Overdue,34.19,False,,
LOA_0038,CLI_0047,Aviva,Protection Review,2025-12-29T16:33:51.461329,,,Client Signature Pending,32,10,Overdue,49.16,True,,
LOA_0039,CLI_0033,Aon,Protection Review,2026-01-05T16:33:51.461415,2026-01-09T16:33:51.461415,2026-01-15T16:33:51.461415,Provider Submitted,17,20,On Track,1.53,True,,REF_AON_00039
LOA_0040,CLI_0032,Aviva,Investment Planning,2026-01-23T16:33:51.461503,2026-01-29T16:33:51.461503,2026-02-03T16:33:51.461503,Provider Processing,2,10,On Track,94.02,True,P60,REF_AVI_00040
LOA_0041,CLI_0035,Aviva,Investment Planning,2025-12-26T16:33:51.461602,2025-12-31T16:33:51.461602,2026-01-02T16:33:51.461602,Information Received,11,10,Overdue,65.15,True,,REF_AVI_00041
LOA_0042,CLI_0029,Standard Life,Investment Planning,2025-12-08T16:33:51.461731,2025-12-13T16:33:51.461731,2025-12-19T16:33:51.461731,Provider Submitted,44,12,Overdue,68.16,True,,REF_STA_00042
LOA_0043,CLI_0041,Prudential,Investment Planning,2026-01-24T16:33:51.461825,,,Prepared,8,12,On Track,41.79,True,,
LOA_0044,CLI_0036,Zurich,Retirement Planning,2025-12-22T16:33:51.461917,2025-12-27T16:33:51.461917,2025-12-27T16:33:51.461917,Provider Submitted,36,15,Overdue,77.64,True,,REF_ZUR_00044
LOA_0045,CLI_0032,Aon,Investment Planning,2026-01-16T16:33:51.462005,,,Client Signature Pending,15,20,On Track,90.26,True,,
