item_id,client_id,item_type,case_type,date_sent,current_state,days_outstanding,completion_deadline,days_until_deadline,completion_percentage,sent_via,opened,last_interaction,rejection_reason,resubmission_count
POST_00001,CLI_0050,Investment Confirmation,Pension Consolidation,2026-01-22T16:34:15.555078,Partially Completed,10,2026-02-05T16:34:15.555078,3,6,Portal,True,2026-01-30T16:34:15.555280,,0
POST_00002,CLI_0015,Pension Transfer Authority,Investment Planning,2026-01-28T16:34:15.555298,Completed,4,2026-02-11T16:34:15.555298,9,100,Email,False,2026-01-23T16:34:15.555406,,0
POST_00003,CLI_0037,Investment Confirmation,Investment Planning,2026-01-03T16:34:15.555422,Partially Completed,29,2026-01-17T16:34:15.555422,0,90,WhatsApp,False,2026-01-26T16:34:15.555525,,0
POST_00004,CLI_0016,Terms & Conditions,Investment Planning,2026-01-03T16:34:15.555540,Resubmitted,29,2026-01-17T16:34:15.555540,0,0,Portal,True,2026-01-28T16:34:15.555858,,1
POST_00005,CLI_0025,AML Verification,Protection Review,2026-01-20T16:34:15.555878,Partially Completed,12,2026-02-03T16:34:15.555878,1,96,Portal,True,2026-01-28T16:34:15.555938,,0
POST_00006,CLI_0028,Pension Transfer Authority,General Review,2026-01-29T16:34:15.555952,Sent,3,2026-02-12T16:34:15.555952,10,0,SMS,False,2026-01-26T16:34:15.555989,,0
POST_00007,CLI_0042,Anti-Money Laundering Document,Protection Review,2026-01-16T16:34:15.556002,Rejected,16,2026-01-30T16:34:15.556002,0,0,SMS,True,2026-01-28T16:34:15.556041,Missing Signature,0
POST_00008,CLI_0033,Investment Confirmation,Protection Review,2026-01-08T16:34:15.556054,Completed,24,2026-01-22T16:34:15.556054,0,100,Email,True,2026-01-23T16:34:15.556089,,0
POST_00009,CLI_0043,Application Form,Protection Review,2026-01-17T16:34:15.556102,Completed,15,2026-01-31T16:34:15.556102,0,100,Email,True,2026-01-27T16:34:15.556188,,0
POST_00010,CLI_0010,AML Verification,Pension Consolidation,2026-01-10T16:34:15.556218,Resubmitted,22,2026-01-24T16:34:15.556218,0,0,SMS,False,2026-01-29T16:34:15.556297,,0
POST_00011,CLI_0023,AML Verification,Pension Consolidation,2026-01-30T16:34:15.556317,Rejected,2,2026-02-13T16:34:15.556317,11,0,Email,True,2026-01-31T16:34:15.556364,Missing Signature,0
POST_00012,CLI_0043,Authority to Proceed,Protection Review,2026-01-07T16:34:15.556378,Partially Completed,25,2026-01-21T16:34:15.556378,0,77,Portal,True,2026-01-31T16:34:15.556418,,0
POST_00013,CLI_0015,AML Verification,Investment Planning,2026-01-22T16:34:15.556432,Resubmitted,10,2026-02-05T16:34:15.556432,3,0,Portal,True,2026-01-23T16:34:15.556467,,0
POST_00014,CLI_0039,Pension Transfer Authority,Investment Planning,2026-01-06T16:34:15.556483,Sent,26,2026-01-20T16:34:15.556483,0,0,WhatsApp,False,2026-01-30T16:34:15.556517,,0
POST_00015,CLI_0046,Risk Questionnaire,Protection Review,2026-01-10T16:34:15.556531,Opened,22,2026-01-24T16:34:15.556531,0,0,Email,True,2026-01-26T16:34:15.556587,,0
POST_00016,CLI_0022,AML Verification,General Review,2026-01-15T16:34:15.556609,Opened,17,2026-01-29T16:34:15.556609,0,0,Portal,True,2026-01-31T16:34:15.556716,,0
POST_00017,CLI_0049,Pension Transfer Authority,General Review,2026-01-24T16:34:15.556740,Completed,8,2026-02-07T16:34:15.556740,5,100,WhatsApp,True,2026-01-25T16:34:15.556805,,0
POST_00018,CLI_0048,Authority to Proceed,Investment Planning,2026-01-21T16:34:15.556829,Completed,11,2026-02-04T16:34:15.556829,2,100,Portal,True,2026-01-23T16:34:15.556893,,0
POST_00019,CLI_0016,Application Form,Investment Planning,2026-01-17T16:34:15.556916,Completed,15,2026-01-31T16:34:15.556916,0,100,WhatsApp,True,2026-01-29T16:34:15.556976,,0
