message_id,client_id,date,direction,channel,message_text,sentiment,length_words,contains_question,response_time_hours
MSG_000001,CLI_0037,2025-12-29T16:34:15.576285,Advisor to Client,WhatsApp,"Great, ready to proceed",Positive,4,False,
MSG_000002,CLI_0022,2026-01-14T16:34:15.576377,Advisor to Client,Phone,Thanks so much for your help!,Positive,6,False,
MSG_000003,CLI_0028,2025-12-29T16:34:15.576450,Client to Advisor,SMS,No problem,Neutral,2,False,
MSG_000004,CLI_0029,2025-11-11T16:34:15.576519,Advisor to Client,SMS,Can you clarify?,Confused,3,True,8.0
MSG_000005,CLI_0042,2025-11-21T16:34:15.576599,Advisor to Client,WhatsApp,This is ridiculous,Frustrated,3,False,33.0
MSG_000006,CLI_0049,2025-12-06T16:34:15.576685,Client to Advisor,SMS,Really appreciate the guidance,Positive,4,False,40.0
MSG_000007,CLI_0028,2025-11-15T16:34:15.576739,Client to Advisor,SMS,Why so long?,Frustrated,3,True,42.0
MSG_000008,CLI_0018,2026-01-25T16:34:15.576784,Advisor to Client,Phone,Thanks so much for your help!,Positive,6,False,
MSG_000009,CLI_0044,2026-01-12T16:34:15.576824,Client to Advisor,Phone,Really appreciate the guidance,Positive,4,False,40.0
MSG_000010,CLI_0003,2025-11-22T16:34:15.576867,Advisor to Client,SMS,"Perfect, that makes sense",Positive,4,False,9.0
MSG_000011,CLI_0048,2025-12-15T16:34:15.576913,Client to Advisor,SMS,"Ok, I'll send documents",Neutral,4,False,
MSG_000012,CLI_0014,2025-12-24T16:34:15.576953,Client to Advisor,WhatsApp,Everything is clear now,Positive,4,False,40.0
MSG_000013,CLI_0010,2026-01-13T16:34:15.576995,Client to Advisor,Phone,I'll do that,Neutral,3,False,47.0
MSG_000014,CLI_0014,2025-11-10T16:34:15.577037,Advisor to Client,SMS,Really appreciate the guidance,Positive,4,False,
MSG_000015,CLI_0041,2025-11-17T16:34:15.577076,Advisor to Client,SMS,Understood,Neutral,1,False,
MSG_000016,CLI_0040,2026-01-30T16:34:15.577115,Client to Advisor,WhatsApp,Getting frustrated with delays,Frustrated,4,False,
MSG_000017,CLI_0033,2025-12-08T16:34:15.577154,Advisor to Client,Email,Why so long?,Frustrated,3,True,33.0
MSG_000018,CLI_0047,2026-01-13T16:34:15.577195,Advisor to Client,WhatsApp,This is ridiculous,Frustrated,3,False,
MSG_000019,CLI_0033,2026-01-15T16:34:15.577234,Advisor to Client,Phone,No problem,Neutral,2,False,34.0
MSG_000020,CLI_0009,2025-11-22T16:34:15.577276,Client to Advisor,Email,Everything is clear now,Positive,4,False,25.0
MSG_000021,CLI_0003,2026-01-08T16:34:15.577318,Advisor to Client,SMS,"Great, ready to proceed",Positive,4,False,
MSG_000022,CLI_0048,2025-12-28T16:34:15.577357,Client to Advisor,SMS,I'll do that,Neutral,3,False,37.0
MSG_000023,CLI_0027,2025-11-14T16:34:15.577399,Advisor to Client,WhatsApp,Really appreciate the guidance,Positive,4,False,47.0
MSG_000024,CLI_0046,2026-01-23T16:34:15.577440,Client to Advisor,Phone,No problem,Neutral,2,False,
MSG_000025,CLI_0013,2025-11-24T16:34:15.577479,Advisor to Client,SMS,No problem,Neutral,2,False,13.0
MSG_000026,CLI_0001,2026-01-24T16:34:15.577521,Advisor to Client,Email,"Great, ready to proceed",Positive,4,False,3.0
MSG_000027,CLI_0011,2025-12-14T16:34:15.577563,Client to Advisor,Email,"Ok, I'll send documents",Neutral,4,False,36.0
MSG_000028,CLI_0039,2025-12-07T16:34:15.577605,Advisor to Client,Email,I'll get back soon,Neutral,4,False,
