case_id,client_id,case_type,date_initiated,current_stage,days_in_progress,estimated_completion_days,completion_percentage,outstanding_items_count,overdue_items_count,advisor_id,priority_level,last_update,client_engagement_score
CASE_00001,CLI_0046,Protection Review,2025-12-12T16:34:15.607539,Implementation,51,68,70,5,0,ADV_10,Critical,2026-02-01T16:34:15.607577,86.0
CASE_00002,CLI_0024,Protection Review,2025-09-27T16:34:15.607604,Monitoring,127,50,87,1,1,ADV_06,Low,2026-01-31T16:34:15.607667,58.9
CASE_00003,CLI_0042,Protection Review,2025-10-08T16:34:15.607687,Monitoring,116,28,92,2,1,ADV_05,Low,2026-01-24T16:34:15.607716,89.7
CASE_00004,CLI_0048,Investment Planning,2025-08-06T16:34:15.607728,Analysis,179,62,87,4,2,ADV_01,Medium,2026-01-19T16:34:15.607755,104.6
CASE_00005,CLI_0029,Investment Planning,2025-12-14T16:34:15.607766,Initial Meeting,49,20,27,3,0,ADV_09,Low,2026-01-25T16:34:15.607794,86.0
CASE_00006,CLI_0012,Protection Review,2025-09-01T16:34:15.607807,Monitoring,153,64,63,7,1,ADV_05,Low,2026-01-30T16:34:15.607834,111.2
CASE_00007,CLI_0001,General Review,2025-10-31T16:34:15.607848,Implementation,93,17,47,7,2,ADV_05,Low,2026-01-20T16:34:15.607875,105.4
CASE_00008,CLI_0015,Investment Planning,2025-11-30T16:34:15.607887,Monitoring,63,30,39,0,2,ADV_05,High,2026-02-01T16:34:15.607914,74.0
CASE_00009,CLI_0038,Protection Review,2025-09-05T16:34:15.607924,Monitoring,149,30,76,2,0,ADV_01,Low,2026-01-19T16:34:15.607951,44.8
CASE_00010,CLI_0028,General Review,2025-10-08T16:34:15.607963,Recommendation,116,55,76,1,1,ADV_07,Critical,2026-01-20T16:34:15.607989,87.6
CASE_00011,CLI_0007,Pension Consolidation,2025-12-08T16:34:15.608000,Fact-Find,55,32,28,4,1,ADV_02,Critical,2026-01-27T16:34:15.608027,79.5
CASE_00012,CLI_0010,Pension Consolidation,2025-10-30T16:34:15.608037,Monitoring,94,21,40,5,1,ADV_02,Critical,2026-01-21T16:34:15.608065,83.9
CASE_00013,CLI_0009,Retirement Planning,2025-11-10T16:34:15.608076,Fact-Find,83,39,53,7,1,ADV_07,High,2026-01-31T16:34:15.608103,51.2
CASE_00014,CLI_0032,Investment Planning,2025-09-23T16:34:15.608114,Monitoring,131,59,58,6,0,ADV_08,Critical,2026-01-21T16:34:15.608193,42.7
CASE_00015,CLI_0016,Investment Planning,2025-12-18T16:34:15.608208,Monitoring,45,79,32,3,2,ADV_09,High,2026-01-31T16:34:15.608236,72.2
CASE_00016,CLI_0043,Protection Review,2025-10-09T16:34:15.608247,Analysis,115,77,43,6,1,ADV_07,High,2026-02-01T16:34:15.608274,35.2
CASE_00017,CLI_0013,General Review,2025-10-08T16:34:15.608288,Monitoring,116,58,84,6,1,ADV_05,Low,2026-01-20T16:34:15.608315,76.9
CASE_00018,CLI_0021,Investment Planning,2025-08-28T16:34:15.608326,Recommendation,157,31,40,5,1,ADV_08,Critical,2026-01-28T16:34:15.608353,78.1
CASE_00019,CLI_0025,Protection Review,2025-09-09T16:34:15.608364,Recommendation,145,70,42,5,1,ADV_08,Medium,2026-01-21T16:34:15.608391,59.5
CASE_00020,CLI_0024,Protection Review,2025-08-11T16:34:15.608402,Implementation,174,78,89,4,0,ADV_07,Medium,2026-01-20T16:34:15.608429,48.1
CASE_00021,CLI_0012,Protection Review,2025-09-22T16:34:15.608439,Analysis,132,78,46,7,1,ADV_03,High,2026-01-25T16:34:15.608466,37.8
CASE_00022,CLI_0030,Investment Planning,2025-09-12T16:34:15.608478,Implementation,142,45,84,5,0,ADV_10,Critical,2026-01-22T16:34:15.608505,76.5
