document_type,document_subtype,ocr_confidence_score,has_quality_issues,quality_issue_count,validation_passed,manual_review_needed,upload_month
Council Tax,Recent,96.35,False,0,True,False,12
Bank Statement,Missing Name,87.08,False,0,True,False,12
Pension Statement,Outdated,88.14,True,1,False,False,1
Payslip,Recent,93.31,False,0,True,False,12
Utility Bill,Wrong Name,91.8,True,1,False,False,1
Driving Licence,Valid Photocard,94.84,True,1,False,False,12
P60,2024,87.19,False,0,True,False,1
Utility Bill,Outdated,100.0,False,0,True,False,12
Council Tax,Outdated,80.98,False,0,False,False,1
Driving Licence,Expired,89.18,True,1,False,False,12
P60,Illegible,94.11,False,0,True,False,1
Investment Statement,Current,100.0,True,1,False,False,1
Investment Statement,Outdated,79.5,False,0,False,True,12
Pension Statement,Current,85.63,True,1,False,False,1
Bank Statement,Outdated,79.93,False,0,False,True,1
P60,2023,100.0,False,0,True,False,1
Utility Bill,Recent,94.61,True,1,False,False,1
Bank Statement,Missing Name,91.35,False,0,True,False,1
Utility Bill,Wrong Name,91.52,False,0,True,False,1
P60,2023,99.69,False,0,True,False,1
Council Tax,Recent,90.3,False,0,True,False,1
Investment Statement,Current,88.59,True,1,False,False,12
Council Tax,Outdated,89.25,False,0,True,False,1
Passport,Valid,98.01,False,0,True,False,12
Investment Statement,Current,92.04,False,0,True,False,12
Utility Bill,Outdated,90.12,False,0,True,False,1
Pension Statement,Current,86.7,False,0,True,False,1
Driving Licence,Damaged,90.83,False,0,True,False,12
Passport,Expired,86.73,False,0,True,False,12
Utility Bill,Outdated,92.03,False,0,True,False,12
Payslip,Damaged,100.0,False,0,True,False,12
P60,Illegible,98.02,True,1,False,False,12
Passport,Valid,84.08,False,0,False,False,1
Utility Bill,Outdated,87.47,False,0,True,False,1
Bank Statement,Recent,84.64,True,1,False,False,1
Investment Statement,Current,100.0,False,0,True,False,1
Utility Bill,Wrong Name,100.0,False,0,True,False,12
Passport,Low Quality,96.21,True,1,False,False,12
Bank Statement,Recent,99.72,True,1,False,False,1
Pension Statement,Outdated,83.48,False,0,False,False,1
Payslip,2+ months old,93.4,False,0,True,False,1
Council Tax,Recent,82.27,False,0,False,False,1
Council Tax,Outdated,99.71,False,0,True,False,12
Utility Bill,Outdated,95.3,False,0,True,False,12
Payslip,2+ months old,99.03,False,0,True,False,12
Passport,Low Quality,90.08,False,0,True,False,12
Utility Bill,Wrong Name,91.91,False,0,True,False,1
Investment Statement,Current,93.52,True,1,False,False,12
Utility Bill,Recent,90.26,False,0,True,False,12
Driving Licence,Valid Photocard,88.2,False,0,True,False,12
Pension Statement,Outdated,93.85,True,1,False,False,1
Driving Licence,Expired,85.53,True,1,False,False,1
Payslip,Damaged,99.24,True,1,False,False,1
Bank Statement,Recent,87.17,False,0,True,False,1
Pension Statement,Outdated,87.55,True,1,False,False,12
Bank Statement,Missing Name,90.98,False,0,True,False,1
Payslip,Recent,84.86,False,0,False,False,12
P60,2023,89.32,False,0,True,False,12
Council Tax,Outdated,100.0,True,1,False,False,12
Utility Bill,Recent,97.07,False,0,True,False,1
Bank Statement,Outdated,96.04,False,0,True,False,12
Driving Licence,Expired,98.93,False,0,True,False,1
P60,2025,100.0,False,0,True,False,1
Utility Bill,Recent,100.0,False,0,True,False,1
P60,2023,90.1,False,0,True,False,12
Bank Statement,Recent,100.0,False,0,True,False,12
Payslip,Recent,89.4,False,0,True,False,1
Passport,Low Quality,96.2,False,0,True,False,1
Pension Statement,Outdated,90.38,False,0,True,False,1
Pension Statement,Outdated,92.49,False,0,True,False,12
Utility Bill,Wrong Name,90.79,True,1,False,False,12
Driving Licence,Valid Photocard,96.71,False,0,True,False,12
Passport,Expired,99.08,False,0,True,False,12
Bank Statement,Outdated,88.28,False,0,True,False,12
Pension Statement,Outdated,95.59,False,0,True,False,12
Pension Statement,Outdated,91.37,False,0,True,False,12
Council Tax,Outdated,95.94,True,1,False,False,1
Bank Statement,Recent,79.78,True,1,False,True,12
Passport,Valid,100.0,False,0,True,False,12
Passport,Low Quality,92.17,False,0,True,False,12
Investment Statement,Current,92.83,False,0,True,False,12
P60,2025,94.14,False,0,True,False,1
Council Tax,Recent,96.99,False,0,True,False,12
P60,2023,97.03,True,1,False,False,1
Investment Statement,Outdated,92.72,True,1,False,False,12
Investment Statement,Outdated,92.66,True,1,False,False,1
P60,2024,100.0,True,1,False,False,12
Council Tax,Outdated,88.18,True,1,False,False,12
Utility Bill,Wrong Name,79.31,False,0,False,True,12
Pension Statement,Current,88.62,True,1,False,False,1
Investment Statement,Current,85.22,False,0,True,False,12
P60,Illegible,91.64,False,0,True,False,1
Council Tax,Recent,88.22,False,0,True,False,12
Passport,Valid,93.74,False,0,True,False,1
Bank Statement,Recent,90.85,False,0,True,False,12
Council Tax,Outdated,87.2,False,0,True,False,12
P60,2025,89.41,False,0,True,False,1
P60,Illegible,78.72,False,0,False,True,12
Utility Bill,Recent,91.02,False,0,True,False,1
