message_text,sentiment_label,direction,channel,message_length_words,contains_question,contains_urgency_words,contains_frustration_words
"Great, ready to proceed",Positive,Advisor to Client,WhatsApp,4,False,False,False
Thanks so much for your help!,Positive,Advisor to Client,Phone,6,False,False,False
No problem,Neutral,Client to Advisor,SMS,2,False,False,False
Can you clarify?,Confused,Advisor to Client,SMS,3,True,False,False
This is ridiculous,Frustrated,Advisor to Client,WhatsApp,3,False,False,True
Really appreciate the guidance,Positive,Client to Advisor,SMS,4,False,False,False
Why so long?,Frustrated,Client to Advisor,SMS,3,True,False,False
Thanks so much for your help!,Positive,Advisor to Client,Phone,6,False,False,False
Really appreciate the guidance,Positive,Client to Advisor,Phone,4,False,False,False
"Perfect, that makes sense",Positive,Advisor to Client,SMS,4,False,False,False
"Ok, I'll send documents",Neutral,Client to Advisor,SMS,4,False,False,False
Everything is clear now,Positive,Client to Advisor,WhatsApp,4,False,False,False
I'll do that,Neutral,Client to Advisor,Phone,3,False,False,False
Really appreciate the guidance,Positive,Advisor to Client,SMS,4,False,False,False
Understood,Neutral,Advisor to Client,SMS,1,False,False,False
Getting frustrated with delays,Frustrated,Client to Advisor,WhatsApp,4,False,False,True
Why so long?,Frustrated,Advisor to Client,Email,3,True,False,False
This is ridiculous,Frustrated,Advisor to Client,WhatsApp,3,False,False,True
No problem,Neutral,Advisor to Client,Phone,2,False,False,False
Everything is clear now,Positive,Client to Advisor,Email,4,False,False,False
"Great, ready to proceed",Positive,Advisor to Client,SMS,4,False,False,False
I'll do that,Neutral,Client to Advisor,SMS,3,False,False,False
Really appreciate the guidance,Positive,Advisor to Client,WhatsApp,4,False,False,False
No problem,Neutral,Client to Advisor,Phone,2,False,False,False
No problem,Neutral,Advisor to Client,SMS,2,False,False,False
"Great, ready to proceed",Positive,Advisor to Client,Email,4,False,False,False
"Ok, I'll send documents",Neutral,Client to Advisor,Email,4,False,False,False
I'll get back soon,Neutral,Advisor to Client,Email,4,False,True,False
Don't understand form,Confused,Client to Advisor,Phone,3,False,False,False
I'll get back soon,Neutral,Advisor to Client,Email,4,False,True,False
I'll do that,Neutral,Client to Advisor,SMS,3,False,False,False
What does this mean?,Confused,Client to Advisor,WhatsApp,4,True,False,False
What does this mean?,Confused,Client to Advisor,Email,4,True,False,False
"Ok, I'll send documents",Neutral,Advisor to Client,Phone,4,False,False,False
I'll get back soon,Neutral,Client to Advisor,WhatsApp,4,False,True,False
Can you clarify?,Confused,Client to Advisor,Email,3,True,False,False
Just do this please,Frustrated,Advisor to Client,Email,4,False,False,False
"Ok, I'll send documents",Neutral,Client to Advisor,Email,4,False,False,False
"Great, ready to proceed",Positive,Advisor to Client,Phone,4,False,False,False
I'll get back soon,Neutral,Advisor to Client,Email,4,False,True,False
No problem,Neutral,Advisor to Client,Phone,2,False,False,False
Really appreciate the guidance,Positive,Advisor to Client,Phone,4,False,False,False
Understood,Neutral,Advisor to Client,WhatsApp,1,False,False,False
Thanks so much for your help!,Positive,Client to Advisor,WhatsApp,6,False,False,False
"Great, ready to proceed",Positive,Client to Advisor,WhatsApp,4,False,False,False
I'll get back soon,Neutral,Advisor to Client,Phone,4,False,True,False
Really appreciate the guidance,Positive,Advisor to Client,Phone,4,False,False,False
Really appreciate the guidance,Positive,Client to Advisor,SMS,4,False,False,False
You've been very helpful,Positive,Client to Advisor,Phone,4,False,False,False
Can you clarify?,Confused,Advisor to Client,SMS,3,True,False,False
This is taking forever,Frustrated,Advisor to Client,SMS,4,False,False,True
I've sent this twice!,Frustrated,Advisor to Client,Email,4,False,False,False
Everything is clear now,Positive,Advisor to Client,Phone,4,False,False,False
I've sent this twice!,Frustrated,Client to Advisor,SMS,4,False,False,False
Which document?,Confused,Client to Advisor,Email,2,True,False,False
Just do this please,Frustrated,Client to Advisor,WhatsApp,4,False,False,False
