provider,submission_date,days_to_response,sla_compliant,response_completeness_score,month,quarter
Aviva,2025-08-10T16:34:15.618692,10,True,1.0,8,Q3
Aviva,2025-11-21T16:34:15.618836,8,True,0.7,11,Q4
Aviva,2025-04-03T16:34:15.618920,12,True,1.0,4,Q2
Aviva,2025-05-04T16:34:15.619003,7,True,0.7,5,Q2
Aviva,2025-05-17T16:34:15.619076,9,True,0.7,5,Q2
Aviva,2025-03-06T16:34:15.619140,15,True,0.7,3,Q1
Aviva,2025-03-15T16:34:15.619201,6,True,1.0,3,Q1
Aviva,2025-09-19T16:34:15.619261,10,True,1.0,9,Q3
Aviva,2025-03-24T16:34:15.619322,16,False,1.0,3,Q1
Aviva,2025-07-07T16:34:15.619382,9,True,1.0,7,Q3
Aviva,2025-07-12T16:34:15.619441,14,True,1.0,7,Q3
Aviva,2025-03-28T16:34:15.619499,9,True,1.0,3,Q1
Aviva,2025-03-09T16:34:15.619559,13,True,1.0,3,Q1
Aviva,2025-08-01T16:34:15.619616,7,True,0.7,8,Q3
Aviva,2025-03-29T16:34:15.619736,9,True,1.0,3,Q1
Aviva,2025-03-31T16:34:15.619806,8,True,1.0,3,Q1
Aviva,2025-12-21T16:34:15.619870,13,True,0.7,12,Q4
Aviva,2025-05-12T16:34:15.619931,13,True,1.0,5,Q2
Aviva,2025-04-28T16:34:15.619994,13,True,0.7,4,Q2
Aviva,2025-08-23T16:34:15.620060,8,True,1.0,8,Q3
Aviva,2025-09-09T16:34:15.620195,10,True,1.0,9,Q3
Aviva,2025-02-02T16:34:15.620297,8,True,1.0,2,Q1
Aviva,2025-05-04T16:34:15.620369,6,True,1.0,5,Q2
Aviva,2025-02-04T16:34:15.620426,11,True,1.0,2,Q1
Aviva,2025-11-11T16:34:15.620489,8,True,0.7,11,Q4
Aviva,2025-03-23T16:34:15.620558,9,True,1.0,3,Q1
Aviva,2025-10-17T16:34:15.620620,5,True,1.0,10,Q4
Aviva,2025-02-28T16:34:15.620731,7,True,1.0,2,Q1
Aviva,2025-05-22T16:34:15.620792,7,True,1.0,5,Q2
Aviva,2025-02-28T16:34:15.620853,10,True,1.0,2,Q1
Aviva,2025-09-03T16:34:15.620911,8,True,1.0,9,Q3
Aviva,2025-02-21T16:34:15.620972,12,True,1.0,2,Q1
Aviva,2025-09-14T16:34:15.621046,7,True,0.3,9,Q3
Aviva,2025-11-07T16:34:15.621092,5,True,0.3,11,Q4
Aviva,2025-12-18T16:34:15.621129,12,True,1.0,12,Q4
Aviva,2025-06-24T16:34:15.621165,9,True,1.0,6,Q2
Aviva,2025-07-19T16:34:15.621202,5,True,1.0,7,Q3
Aviva,2025-03-15T16:34:15.621238,9,True,0.7,3,Q1
Aviva,2025-09-05T16:34:15.621273,5,True,1.0,9,Q3
Aviva,2025-09-25T16:34:15.621309,6,True,0.7,9,Q3
Aviva,2025-10-03T16:34:15.621345,10,True,1.0,10,Q4
Aviva,2025-03-10T16:34:15.621381,11,True,1.0,3,Q1
Aviva,2025-07-30T16:34:15.621416,12,True,0.7,7,Q3
Aviva,2025-06-03T16:34:15.621456,8,True,0.7,6,Q2
Aviva,2025-08-30T16:34:15.621493,8,True,0.7,8,Q3
Aviva,2025-06-16T16:34:15.621529,7,True,1.0,6,Q2
Aviva,2025-05-22T16:34:15.621564,10,True,1.0,5,Q2
Aviva,2025-05-24T16:34:15.621599,15,True,1.0,5,Q2
Aviva,2025-05-07T16:34:15.621668,11,True,0.7,5,Q2
Aviva,2025-12-14T16:34:15.621734,5,True,1.0,12,Q4
Standard Life,2025-03-29T16:34:15.621806,12,True,0.7,3,Q1
Standard Life,2025-11-26T16:34:15.621853,7,True,0.7,11,Q4
Standard Life,2025-02-28T16:34:15.621891,14,True,0.7,2,Q1
Standard Life,2025-09-11T16:34:15.621928,13,True,0.7,9,Q3
Standard Life,2025-08-03T16:34:15.621964,16,False,0.7,8,Q3
Standard Life,2025-09-03T16:34:15.622001,15,True,1.0,9,Q3
Standard Life,2025-03-26T16:34:15.622036,14,True,1.0,3,Q1
Standard Life,2025-12-22T16:34:15.622072,7,True,0.3,12,Q4
Standard Life,2025-05-26T16:34:15.622108,7,True,1.0,5,Q2
Standard Life,2025-08-19T16:34:15.622144,8,True,1.0,8,Q3
Standard Life,2025-10-22T16:34:15.622179,12,True,0.3,10,Q4
Standard Life,2025-05-16T16:34:15.622215,10,True,0.7,5,Q2
Standard Life,2025-03-19T16:34:15.622251,20,False,0.7,3,Q1
Standard Life,2025-03-02T16:34:15.622291,7,True,0.3,3,Q1
Standard Life,2025-07-31T16:34:15.622327,14,True,0.7,7,Q3
Standard Life,2025-12-27T16:34:15.622363,11,True,1.0,12,Q4
Standard Life,2025-07-01T16:34:15.622399,13,True,1.0,7,Q3
Standard Life,2025-11-13T16:34:15.622435,13,True,0.7,11,Q4
Standard Life,2025-12-31T16:34:15.622470,7,True,1.0,12,Q4
Standard Life,2025-03-30T16:34:15.622506,13,True,1.0,3,Q1
Standard Life,2025-05-05T16:34:15.622542,12,True,1.0,5,Q2
Standard Life,2025-05-15T16:34:15.622580,9,True,0.7,5,Q2
Standard Life,2025-07-03T16:34:15.622616,15,True,1.0,7,Q3
Standard Life,2025-07-20T16:34:15.622694,9,True,0.7,7,Q3
Standard Life,2025-05-12T16:34:15.622737,10,True,1.0,5,Q2
Standard Life,2025-12-07T16:34:15.622774,13,True,1.0,12,Q4
Standard Life,2025-02-17T16:34:15.622811,12,True,0.7,2,Q1
Standard Life,2025-12-04T16:34:15.622848,12,True,0.3,12,Q4
Standard Life,2025-07-07T16:34:15.622885,15,True,1.0,7,Q3
Standard Life,2025-08-10T16:34:15.622921,9,True,1.0,8,Q3
Standard Life,2025-07-21T16:34:15.622956,9,True,0.7,7,Q3
Standard Life,2025-12-11T16:34:15.622992,8,True,1.0,12,Q4
Standard Life,2025-02-19T16:34:15.623031,13,True,1.0,2,Q1
Standard Life,2025-03-19T16:34:15.623068,8,True,1.0,3,Q1
Standard Life,2025-07-09T16:34:15.623104,11,True,1.0,7,Q3
Standard Life,2025-06-26T16:34:15.623140,11,True,0.3,6,Q2
Standard Life,2025-04-06T16:34:15.623175,8,True,1.0,4,Q2
Standard Life,2025-04-01T16:34:15.623210,7,True,0.3,4,Q2
Standard Life,2025-11-18T16:34:15.623249,10,True,1.0,11,Q4
Standard Life,2025-12-26T16:34:15.623286,14,True,1.0,12,Q4
Standard Life,2025-03-09T16:34:15.623322,10,True,0.7,3,Q1
Standard Life,2025-07-01T16:34:15.623357,13,True,0.7,7,Q3
Standard Life,2025-06-03T16:34:15.623393,20,False,1.0,6,Q2
Standard Life,2025-06-24T16:34:15.623429,15,True,1.0,6,Q2
Standard Life,2025-09-27T16:34:15.623464,13,True,1.0,9,Q3
Standard Life,2025-02-26T16:34:15.623500,11,True,0.3,2,Q1
Standard Life,2025-11-27T16:34:15.623536,12,True,1.0,11,Q4
Standard Life,2025-06-21T16:34:15.623571,7,True,0.3,6,Q2
Standard Life,2025-04-07T16:34:15.623606,7,True,1.0,4,Q2
Standard Life,2025-12-22T16:34:15.623676,8,True,0.7,12,Q4
Fidelity,2025-09-24T16:34:15.623724,20,False,0.7,9,Q3
Fidelity,2025-07-05T16:34:15.623762,9,True,0.7,7,Q3
Fidelity,2025-11-17T16:34:15.623801,13,True,1.0,11,Q4
Fidelity,2025-12-06T16:34:15.623838,9,True,0.7,12,Q4
Fidelity,2025-02-05T16:34:15.623875,17,False,0.7,2,Q1
Fidelity,2025-04-26T16:34:15.623915,15,True,1.0,4,Q2
Fidelity,2025-06-10T16:34:15.623950,8,True,0.7,6,Q2
Fidelity,2025-12-17T16:34:15.623986,23,False,0.7,12,Q4
Fidelity,2025-12-07T16:34:15.624022,19,False,0.3,12,Q4
Fidelity,2025-12-07T16:34:15.624059,9,True,1.0,12,Q4
Fidelity,2025-04-15T16:34:15.624094,23,False,0.3,4,Q2
Fidelity,2025-03-28T16:34:15.624163,12,True,1.0,3,Q1
Fidelity,2025-05-07T16:34:15.624215,8,True,0.7,5,Q2
Fidelity,2025-06-01T16:34:15.624253,12,True,0.7,6,Q2
Fidelity,2025-04-20T16:34:15.624289,15,True,0.7,4,Q2
Fidelity,2025-05-31T16:34:15.624325,15,True,1.0,5,Q2
Fidelity,2025-04-21T16:34:15.624361,14,True,0.7,4,Q2
Fidelity,2025-07-25T16:34:15.624397,14,True,1.0,7,Q3
Fidelity,2025-05-18T16:34:15.624433,11,True,1.0,5,Q2
Fidelity,2025-03-21T16:34:15.624469,8,True,1.0,3,Q1
Fidelity,2025-09-19T16:34:15.624504,20,False,1.0,9,Q3
Fidelity,2025-11-24T16:34:15.624543,15,True,0.3,11,Q4
Fidelity,2025-10-24T16:34:15.624586,19,False,1.0,10,Q4
Fidelity,2025-04-09T16:34:15.624622,13,True,1.0,4,Q2
Fidelity,2025-07-22T16:34:15.624701,22,False,0.7,7,Q3
Fidelity,2025-02-25T16:34:15.624743,8,True,1.0,2,Q1
Fidelity,2025-03-09T16:34:15.624780,13,True,1.0,3,Q1
Fidelity,2025-06-15T16:34:15.624817,16,False,0.7,6,Q2
Fidelity,2025-03-27T16:34:15.624853,17,False,1.0,3,Q1
Fidelity,2025-06-04T16:34:15.624890,11,True,0.7,6,Q2
Fidelity,2025-07-10T16:34:15.624926,17,False,0.3,7,Q3
Fidelity,2025-08-26T16:34:15.624962,21,False,1.0,8,Q3
Fidelity,2025-03-16T16:34:15.624998,19,False,1.0,3,Q1
